seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
17,69,28.800028270592367,106.008269,6,"[11, 12, 13, 18, 32, 34]","['González', 'Güémez', 'Guerrero', 'Llera', 'Río Bravo', 'San Fernando']"
0,35,29.04380812108907,103.28924,6,"[11, 14, 21, 26, 34, 40]","['González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'San Fernando', 'Victoria']"
5,27,29.14330216830463,103.28924,6,"[6, 11, 26, 32, 34, 40]","['Camargo', 'González', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Victoria']"
25,65,31.152078656697615,106.008269,6,"[11, 18, 21, 26, 31, 35]","['González', 'Llera', 'Matamoros', 'Nuevo Laredo', 'Reynosa', 'San Nicolás']"
14,56,39.01838632304321,99.762503,6,"[4, 11, 14, 21, 26, 40]","['Burgos', 'González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Victoria']"
3,55,39.11788037025877,99.762503,6,"[4, 6, 11, 26, 32, 40]","['Burgos', 'Camargo', 'González', 'Nuevo Laredo', 'Río Bravo', 'Victoria']"
10,64,39.613187803014036,105.720934,6,"[4, 6, 11, 18, 26, 32]","['Burgos', 'Camargo', 'González', 'Llera', 'Nuevo Laredo', 'Río Bravo']"
9,91,40.92797389434545,99.762503,6,"[11, 14, 21, 26, 35, 40]","['González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'San Nicolás', 'Victoria']"
15,43,41.027467941561,99.762503,6,"[6, 11, 26, 32, 35, 40]","['Camargo', 'González', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás', 'Victoria']"
0,70,41.09821990081241,99.762503,6,"[11, 14, 26, 32, 35, 40]","['González', 'Gustavo Díaz Ordaz', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás', 'Victoria']"
5,23,41.21338061048691,97.088288,6,"[11, 14, 18, 21, 26, 35]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
4,85,41.31287465770246,97.088288,6,"[6, 11, 18, 26, 32, 35]","['Camargo', 'González', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás']"
5,36,41.343363354687035,95.229076,6,"[1, 14, 18, 21, 26, 35]","['Aldama', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
11,70,41.4428574019026,95.229076,6,"[1, 6, 18, 26, 32, 35]","['Aldama', 'Camargo', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás']"
21,89,41.87189773839266,97.088288,6,"[11, 13, 18, 26, 32, 35]","['González', 'Guerrero', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás']"
